specObjID,oiii_4363_flux,oiii_4363_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,h_beta_flux,h_beta_flux_err,specObjID1
299500397683304448,7.898925,2.263907,1.168875,2.03771,4.586644,2.093848,9.919149,1.506134,2.636751,1.492638,-3.411979,8.789214,299500397683304448
299501771603077120,107.7486,23.88369,-32.93307,21.51623,13.60856,21.40377,6.349531,23.68239,0.2688084,23.69264,-25.37846,5.608789,299501771603077120
299504795729815552,135.0844,22.16961,-42.61588,20.47799,-4.522871,20.26577,7.091424,23.06786,0.4028239,23.00205,-28.42288,5.273363,299504795729815552
299513866230982656,684.8405,8.978676,11648.64,86.26803,34156.34,227.36,543.2649,5.531954,411.4301,4.853157,6294.01,36.37886,299513866230982656
299516890357721088,622.2012,7.288037,10636.29,64.77165,31517.64,175.4908,491.8314,4.85754,386.6843,4.024645,5755.302,33.51798,299516890357721088
299523762305394688,14.8856,4.541061,-1.241884,4.474602,55.74691,4.240603,5.106394,7.610568,-2.349611,7.606818,140.1149,4.189435,299523762305394688
299528984515864576,29.1459,3.853097,966.4532,10.09998,2842.657,25.713,156.6592,3.672072,110.47,2.93628,615.1938,7.412086,299528984515864576
299532008642603008,23.82613,3.3619,1012.708,9.235672,2956.007,23.91256,164.4952,3.154143,110.1759,2.504458,663.3409,7.208734,299532008642603008
299533657910044672,15.84771,3.690057,39.23011,2.554651,152.1082,3.110538,3.083276,7.251076,27.67458,8.855824,167.7853,3.977432,299533657910044672
299534756951910400,12.04642,3.869276,38.01407,2.737466,138.3537,3.198409,6.580034,8.325394,-11.14739,10.1791,150.8066,4.15138,299534756951910400
299541628899584000,15.62491,3.779348,34.23589,3.261766,134.2438,3.747761,-5.623604,24.11281,-10.22849,9.39885,55.72849,4.915756,299541628899584000
299543553514694656,33.71459,10.44497,-14.55207,7.898763,9.068541,7.651427,2.126196,6.106664,2.259614,6.112444,-11.44596,3.058724,299543553514694656
299544652556560384,7.963295,2.254835,566.3161,6.955729,1680.568,13.08021,118.6619,2.784968,94.97102,3.479655,424.3076,20.03738,299544652556560384
299551799851902976,10.6637,2.932474,58.00645,3.180604,179.6009,4.062767,51.73793,2.79539,39.6167,2.73896,71.94472,3.483757,299551799851902976
299558671799576576,20.86352,6.729076,-27.09492,3.755256,92.1277,4.099468,-47.2263,15.41956,2.369689,13.3768,336.4662,5.289545,299558671799576576
299559221085628416,31.69304,6.292438,-26.9809,3.481843,102.1901,3.704123,-8.981063,14.54757,-19.46659,12.05049,323.2336,5.149094,299559221085628416
299572964980975616,15.41901,3.075618,17.60086,5.328067,132.6944,8.236554,0,-0.7965267,0,-0.7965267,134.823,6.988679,299572964980975616
299580662032132096,39.27772,5.405734,-28.8711,4.077423,97.46069,6.196136,0,-0.6268744,0,-0.6268744,377.9802,5.344712,299580662032132096
299586434468177920,9.097033,2.136514,23.63969,2.45231,91.9711,3.23725,0,-0.6856336,0,-0.6856336,96.36183,4.539148,299586434468177920
299593856171665408,26.06069,3.279236,160.3068,6.14362,533.7894,7.379267,0,-0.7944362,0,-0.7944362,87.7849,6.094223,299593856171665408
299595780317014016,1.458158,0.3979268,1.69727,0.3424741,3.656026,0.3481153,16.52884,0.3968633,11.71782,0.3600186,35.59267,0.5935662,299595780317014016
299601277875152896,21.23038,3.50766,840.4517,8.828723,2524.677,20.69341,443.4508,5.133564,307.0977,4.182464,998.5123,10.1605,299601277875152896
299609798620506112,49.36752,3.322878,1447.775,12.70271,4311.511,33.65092,89.25211,2.487619,70.39994,2.438204,645.1212,7.091582,299609798620506112
299609799090268160,57.29446,2.972829,1528.229,12.4613,4605.134,32.47083,97.47421,2.147814,70.34242,2.107017,695.6219,7.29741,299609799090268160
299625192253057024,23.03021,5.08268,62.0179,5.068823,288.3976,6.379635,37.42876,4.405164,26.85402,4.001669,154.2803,7.451838,299625192253057024
299630964689102848,35.96024,4.524685,64.35709,6.370505,376.5913,8.313858,0,-0.7322134,0,-0.7322134,230.7397,8.389349,299630964689102848
299631788853061632,24.84485,5.288011,63.06546,7.979932,412.5406,10.50418,0,-0.7510874,0,-0.7510874,263.2935,10.51563,299631788853061632
299637561289107456,18.71742,4.875249,10.04139,4.498489,8.817845,4.387487,20.23004,4.358924,16.76075,4.410325,14.69218,4.433292,299637561289107456
299662300300732416,13.31184,4.063466,-1.015034,2.432956,3.490196,4.345273,-13.68788,12.48216,-3519.105,11547.37,-1.376234,1.461487,299662300300732416
300636742581512192,25.08931,2.501376,140.5144,3.230151,497.3675,5.243029,0,-0.7895412,0,-0.7895412,313.8472,6.031837,300636742581512192
300668353540810752,6.781728,2.078548,5.130084,1.944949,10.94909,1.784128,28.08772,1.665696,21.19785,1.717707,29.64138,1.916025,300668353540810752
300692542796621824,10.29932,2.695657,28.56845,2.863109,115.0766,3.064831,24.17809,4.232571,32.10704,5.034244,85.41756,3.635927,300692542796621824
300703263034992640,6.533711,2.167724,22.77411,2.264185,67.93123,2.764414,73.75316,2.205711,56.15826,2.064832,90.2422,2.710786,300703263034992640
300720855221037056,95.78447,5.694237,3861.275,29.2889,11480.28,76.40671,553.0176,6.068967,386.4682,5.064805,2833.981,21.27801,300720855221037056
